what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1328121473506
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1328121478603
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1328121516891
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1328121521860
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328121524796
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328121527143
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1328121533254
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1328121533587
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1328121535205
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1328121535468
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1328121536735
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1328121550444
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1328121550778
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1328121572791
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1328121573066
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1328121591281
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1328121594717
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1328121607844
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1328121767255
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328121770954
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1328121775047
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1328122184564
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1328123348683
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328123358297
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1328123375172
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1328123389091
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1328123397557
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1328123408367
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1328123450517
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1328123450544
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328123458029
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1328123459776
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1328123478441
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1328123478468
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1328123483376
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1328123484850
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1328123490072
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1328123540400
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328123542308
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1328123556974
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328123557295
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328123557579
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1328123582058
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1328123582490
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1328123587587
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1328123588737
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1328123590973
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1328123601819
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.findReplace",1328123601892
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1328123604753
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1328123611151
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328123614006
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1328123615267
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1328123617356
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1328123619839
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1328123626431
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1328125260944
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328125269301
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1328125702928
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1328125708128
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1328126429546
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328126430981
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328126432756
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328126435943
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328126435954
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328126437341
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328126437884
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328126439285
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328126454499
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328126454499
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328126455462
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328126456242
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328126456242
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328126467206
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1328126506987
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1328126788868
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328126790171
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1328126808705
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328126809822
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1328126811704
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328126813445
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1328126818497
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1328126838146
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1328126850302
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328126852120
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1328126860951
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328126863187
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1328126869381
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1328126880313
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1328126885389
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1328126886337
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1328126890192
